symbol,date,1. open,2. high,3. low,4. close,5. volume
BIIB,2021-09-10,331.31,332.87,295.22,299.81,7039637
BIIB,2021-09-03,342.92,345.775,327.8,333.6,4102299
BIIB,2021-08-27,342.33,350.45,338.52,343.19,3562022
BIIB,2021-08-20,341.92,351.86,337.08,341.74,4393722
BIIB,2021-08-13,339.99,347.34,334.61,342.25,4170795
BIIB,2021-08-06,327.04,342.86,325.09,340.0,5043357
BIIB,2021-07-30,324.4103,336.95,322.51,326.73,4512892
BIIB,2021-07-23,323.08,330.64,317.255,325.4,6049267
BIIB,2021-07-16,357.03,358.77,323.0,324.62,7967027
BIIB,2021-07-09,347.6,372.115,340.27,358.16,7484279
BIIB,2021-07-02,343.0,350.38,333.28,348.72,6247157
BIIB,2021-06-25,388.86,390.99,345.13,347.93,12345991
BIIB,2021-06-18,396.24,410.405,380.17,388.44,10268861
BIIB,2021-06-11,295.3456,468.55,286.0001,396.64,45335688
BIIB,2021-06-04,272.35,291.71,264.12,286.14,6796013
BIIB,2021-05-28,285.6,287.2699,266.0,267.48,6312704
BIIB,2021-05-21,281.17,290.36,276.065,283.19,4428292
BIIB,2021-05-14,274.86,283.16,273.07,280.21,4807018
BIIB,2021-05-07,267.87,279.2,267.725,274.04,4589914
BIIB,2021-04-30,264.45,270.86,261.22,267.33,3982385
BIIB,2021-04-23,269.55,274.81,257.03,262.63,6101632
BIIB,2021-04-16,267.31,273.83,262.42,270.31,4275609
BIIB,2021-04-09,279.24,279.92,263.5,268.17,4277802
BIIB,2021-04-01,275.75,281.88,273.065,278.71,3809202
BIIB,2021-03-26,267.34,279.9994,264.36,276.63,5359891
BIIB,2021-03-19,268.02,271.43,250.42,267.07,8347798
BIIB,2021-03-12,270.7,278.87,260.55,266.13,7300143
BIIB,2021-03-05,274.42,275.645,262.445,270.71,5709458
BIIB,2021-02-26,276.06,288.08,269.31,272.88,6130335
BIIB,2021-02-19,275.0,282.995,272.0,278.35,4370719
BIIB,2021-02-12,266.56,282.75,265.0,278.03,5373421
BIIB,2021-02-05,283.2,284.75,260.97,265.09,7877431
BIIB,2021-01-29,271.79,296.38,262.99,282.61,8469709
BIIB,2021-01-22,276.75,282.43,267.665,269.44,4005083
BIIB,2021-01-15,255.86,282.6,253.3124,275.84,8321434
BIIB,2021-01-08,245.74,252.635,238.4,252.54,6116396
BKNG,2023-10-06,3071.8,3112.53,2990.16,3049.44,962867
BKNG,2023-09-29,3023.3,3136.95,3015.0,3083.95,1113428
BKNG,2023-09-22,3154.0,3203.18,3014.55,3062.54,1179149
BKNG,2023-09-15,3151.89,3226.57,3109.83,3160.15,1758005
BKNG,2023-09-08,3089.63,3160.64,3067.91,3143.1,902228
BKNG,2023-09-01,3066.41,3148.9799,3057.105,3114.89,900901
BKNG,2023-08-25,3067.07,3130.66,3008.0501,3042.51,1032559
BKNG,2023-08-18,3200.0,3236.94,3034.58,3058.43,1239042
BKNG,2023-08-11,3084.55,3251.7094,3079.5,3206.23,1616799
BKNG,2023-08-04,3000.0,3166.76,2794.36,3063.16,2591179
